YearsExperience,Salary
1.1,36187.15875226889
1.3,37698.6565638813
1.5,37731.0
2.0,44363.28562080019
2.2,39891.0
2.9,56642.0
3.0,60150.0
3.2,54445.0
3.2,64445.0
3.7,57189.0
3.9,63218.0
4.0,63048.51900417502
4.0,63048.51900417502
4.1,57081.0
4.5,61111.0
4.9,67938.0
5.1,66029.0
5.3,83088.0
5.9,81363.0
6.0,93940.0
6.8,91738.0
7.1,98273.0
7.9,101302.0
8.2,113812.0
8.7,109431.0
9.0,105582.0
9.5,116969.0
9.6,112635.0
10.3,122391.0
10.5,121872.0
2.0,44363.28562080019
1.0,34795.334742701685
2.3,47264.91654848679
6.4,86479.45287603672
3.5,58742.34181508677
8.0,101789.0288563742
1.4,38647.61548379378
1.6,40560.9775745475
